	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z
A	0	143	243	4	477	229	481	330	440	49	19	504	161	472	466	44	26	170	312	152	219	377	67	74	11	60
B	360	0	452	37	453	195	418	77	190	485	188	185	332	193	314	386	403	324	323	498	285	228	197	18	476	240
C	47	287	0	145	211	474	81	196	506	473	505	116	229	333	355	162	126	184	270	11	1	152	117	104	133	197
D	116	268	489	0	454	248	163	4	49	21	128	139	102	67	442	420	19	485	45	124	29	255	439	460	149	145
E	339	478	269	439	0	230	348	394	27	230	153	61	71	449	449	257	458	126	56	278	15	151	291	395	165	402
F	431	515	267	63	353	0	148	11	173	94	146	94	363	200	36	358	131	210	371	315	400	226	250	474	291	394
G	503	1	519	443	477	427	0	122	113	350	213	173	136	390	167	258	38	332	385	100	225	504	507	26	251	130
H	182	118	232	273	361	210	47	0	486	156	145	16	410	37	232	115	279	239	286	224	357	515	292	368	142	210
I	424	415	298	321	173	334	72	336	0	465	2	119	188	283	228	404	62	342	229	332	443	479	65	139	460	259
J	357	54	473	64	25	313	284	81	291	0	363	324	215	226	505	166	491	282	211	379	330	252	327	513	267	17
K	463	324	299	496	225	282	359	241	94	7	0	419	467	86	508	296	258	83	54	257	282	362	323	272	182	162
L	442	189	363	105	276	72	215	205	402	177	419	0	502	500	371	395	500	412	104	292	296	270	150	120	21	145
M	256	274	106	418	362	402	313	459	480	382	364	11	0	355	401	82	228	197	517	42	476	361	41	376	252	119
N	14	404	226	238	119	274	43	169	177	421	436	56	111	0	10	197	84	407	166	447	142	79	421	106	412	119
O	8	452	92	17	104	443	432	311	184	1	43	16	268	352	0	456	54	251	44	318	459	450	71	82	227	451
P	146	294	68	175	418	494	259	240	450	345	133	129	30	105	91	0	320	453	242	181	455	390	230	480	82	396
Q	509	305	253	462	292	286	516	164	309	494	518	240	95	428	492	374	0	398	61	217	133	249	381	492	349	378
R	460	387	450	329	103	443	267	134	494	19	109	441	44	139	413	436	414	0	28	241	445	99	296	310	366	118
S	88	109	296	22	125	246	339	79	278	90	345	469	117	39	418	385	461	103	0	519	31	65	213	58	139	348
T	275	145	231	409	489	62	183	399	39	194	40	508	115	511	17	207	282	340	499	0	172	84	276	164	438	519
U	80	140	386	102	376	113	300	500	362	127	514	376	194	386	186	249	302	131	122	182	0	41	260	44	47	444
V	48	508	9	267	314	330	168	511	122	182	413	11	473	144	48	322	65	354	461	366	123	0	454	48	191	487
W	293	474	29	240	239	516	299	324	504	401	39	508	274	10	434	454	301	267	258	357	478	97	0	153	433	291
X	377	123	155	373	31	317	108	407	382	252	157	188	274	161	340	155	425	273	510	212	509	254	41	0	63	302
Y	160	496	262	364	233	354	339	92	438	434	16	205	104	484	461	486	378	66	310	386	88	176	410	90	0	61
Z	119	209	55	442	503	83	394	261	409	262	387	464	99	174	354	103	240	87	219	300	237	248	116	279	373	0
