	A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z
A	0	418	174	466	316	167	4	490	421	387	149	52	369	498	127	273	54	410	461	386	60	4	347	305	180	293
B	418	0	251	129	82	513	262	307	269	58	500	316	128	22	456	95	152	298	42	415	417	274	475	406	492	294
C	174	251	0	88	155	366	296	201	433	35	339	406	184	382	36	130	327	70	36	392	339	439	145	73	122	48
D	466	129	88	0	378	518	184	127	283	23	9	379	13	446	433	204	232	444	255	412	226	226	335	49	18	60
E	316	82	155	378	0	90	430	169	45	478	41	325	500	229	479	163	159	402	401	249	419	453	253	420	483	233
F	167	513	366	518	90	0	91	240	38	449	115	143	331	124	284	335	71	148	126	432	437	239	223	361	455	172
G	4	262	296	184	430	91	0	428	515	190	10	115	412	349	455	60	10	124	294	255	260	417	82	443	120	96
H	490	307	201	127	169	240	428	0	183	212	515	344	200	206	445	467	47	153	140	51	34	107	84	24	224	265
I	421	269	433	283	45	38	515	183	0	439	242	408	248	281	271	323	462	325	9	288	379	516	249	470	174	211
J	387	58	35	23	478	449	190	212	439	0	497	271	182	322	157	354	29	323	21	202	346	249	422	365	337	193
K	149	500	339	9	41	115	10	515	242	497	0	288	488	198	26	457	416	47	37	442	142	42	135	467	457	187
L	52	316	406	379	325	143	115	344	408	271	288	0	110	432	45	181	483	90	31	139	302	431	520	124	8	249
M	369	128	184	13	500	331	412	200	248	182	488	110	0	271	410	389	403	341	290	456	20	301	488	390	335	4
N	498	22	382	446	229	124	349	206	281	322	198	432	271	0	442	212	124	228	395	421	362	41	376	185	170	109
O	127	456	36	433	479	284	455	445	271	157	26	45	410	442	0	51	330	476	114	142	480	302	366	307	213	215
P	273	95	130	204	163	335	60	467	323	354	457	181	389	212	51	0	351	468	457	484	350	153	217	499	140	78
Q	54	152	327	232	159	71	10	47	462	29	416	483	403	124	330	351	0	32	118	495	336	267	424	130	300	445
R	410	298	70	444	402	148	124	153	325	323	47	90	341	228	476	468	32	0	294	191	500	30	293	253	168	388
S	461	42	36	255	401	126	294	140	9	21	37	31	290	395	114	457	118	294	0	92	211	459	28	518	103	373
T	386	415	392	412	249	432	255	51	288	202	442	139	456	421	142	484	495	191	92	0	316	181	89	19	297	150
U	60	417	339	226	419	437	260	34	379	346	142	302	20	362	480	350	336	500	211	316	0	149	172	105	188	207
V	4	274	439	226	453	239	417	107	516	249	42	431	301	41	302	153	267	30	459	181	149	0	269	327	368	31
W	347	475	145	335	253	223	82	84	249	422	135	520	488	376	366	217	424	293	28	89	172	269	0	316	334	12
X	305	406	73	49	420	361	443	24	470	365	467	124	390	185	307	499	130	253	518	19	105	327	316	0	328	75
Y	180	492	122	18	483	455	120	224	174	337	457	8	335	170	213	140	300	168	103	297	188	368	334	328	0	80
Z	293	294	48	60	233	172	96	265	211	193	187	249	4	109	215	78	445	388	373	150	207	31	12	75	80	0
